,best_cost
0,0.15968395762661436
1,0.15937874290011045
2,0.15872847877419005
3,0.15872847877419005
4,0.15872847877419005
5,0.15872847877419005
6,0.15872847877419005
7,0.1536289662370385
8,0.1536289662370385
9,0.153179863637016
10,0.153179863637016
11,0.153179863637016
12,0.153179863637016
13,0.153179863637016
14,0.153179863637016
15,0.153179863637016
16,0.153179863637016
17,0.153179863637016
18,0.153179863637016
19,0.153179863637016
20,0.153179863637016
21,0.153179863637016
22,0.153179863637016
23,0.153179863637016
24,0.153179863637016
25,0.153179863637016
26,0.153179863637016
27,0.153179863637016
28,0.153179863637016
29,0.153179863637016
30,0.153179863637016
31,0.153179863637016
32,0.153179863637016
33,0.153179863637016
34,0.153179863637016
35,0.153179863637016
36,0.153179863637016
37,0.153179863637016
38,0.153179863637016
39,0.153179863637016
40,0.153179863637016
41,0.153179863637016
42,0.153179863637016
43,0.153179863637016
44,0.153179863637016
45,0.153179863637016
46,0.153179863637016
47,0.153179863637016
48,0.153179863637016
49,0.153179863637016
50,0.153179863637016
51,0.153179863637016
52,0.153179863637016
53,0.153179863637016
54,0.153179863637016
55,0.153179863637016
56,0.153179863637016
57,0.153179863637016
58,0.153179863637016
59,0.153179863637016
60,0.153179863637016
61,0.153179863637016
62,0.153179863637016
63,0.153179863637016
64,0.153179863637016
65,0.153179863637016
66,0.153179863637016
67,0.153179863637016
68,0.153179863637016
69,0.153179863637016
70,0.153179863637016
71,0.153179863637016
72,0.153179863637016
73,0.153179863637016
74,0.153179863637016
75,0.153179863637016
76,0.153179863637016
77,0.153179863637016
78,0.153179863637016
79,0.153179863637016
80,0.153179863637016
81,0.153179863637016
82,0.153179863637016
83,0.153179863637016
84,0.153179863637016
85,0.153179863637016
86,0.153179863637016
87,0.153179863637016
88,0.153179863637016
89,0.153179863637016
90,0.153179863637016
91,0.153179863637016
92,0.153179863637016
93,0.153179863637016
94,0.153179863637016
95,0.153179863637016
96,0.153179863637016
97,0.153179863637016
98,0.153179863637016
99,0.153179863637016
