,best_cost
0,0.1581897549878038
1,0.1581897549878038
2,0.1581897549878038
3,0.1581897549878038
4,0.1581897549878038
5,0.1581897549878038
6,0.1581897549878038
7,0.1581897549878038
8,0.1581897549878038
9,0.1581897549878038
10,0.1581897549878038
11,0.1581897549878038
12,0.1581897549878038
13,0.1581897549878038
14,0.1581897549878038
15,0.1581897549878038
16,0.1581897549878038
17,0.1581897549878038
18,0.1581897549878038
19,0.1581897549878038
20,0.1581897549878038
21,0.1581897549878038
22,0.1581274637916046
23,0.1571364633230768
24,0.156637829523322
25,0.156637829523322
26,0.156637829523322
27,0.156637829523322
28,0.156637829523322
29,0.156637829523322
30,0.156637829523322
31,0.156637829523322
32,0.1538213608864629
33,0.1538213608864629
34,0.1538213608864629
35,0.1538213608864629
36,0.1538213608864629
37,0.1538213608864629
38,0.1538213608864629
39,0.1538213608864629
40,0.1538213608864629
41,0.1538213608864629
42,0.1538213608864629
43,0.1538213608864629
44,0.1538213608864629
45,0.1538213608864629
46,0.1538213608864629
47,0.1538213608864629
48,0.1538213608864629
49,0.1538213608864629
50,0.1538213608864629
51,0.1538213608864629
52,0.1538213608864629
53,0.1538213608864629
54,0.1538213608864629
55,0.1538213608864629
56,0.1538213608864629
57,0.1538213608864629
58,0.1538213608864629
59,0.1538213608864629
60,0.1538213608864629
61,0.1538213608864629
62,0.1538213608864629
63,0.1538213608864629
64,0.1538213608864629
65,0.1538213608864629
66,0.15022630791841568
67,0.15006986415426432
68,0.14997830715046157
69,0.14958272565802563
70,0.14958272565802563
71,0.14934943424210922
72,0.14665152517766583
73,0.14631762389212083
74,0.14631762389212083
75,0.14631762389212083
76,0.14631762389212083
77,0.14631762389212083
78,0.1461044817609218
79,0.1461044817609218
80,0.1461044817609218
81,0.1461044817609218
82,0.1452210413331211
83,0.1452210413331211
84,0.14379917309255957
85,0.143033876339744
86,0.14265366656875467
87,0.14265366656875467
88,0.14265366656875467
89,0.14238842494693046
90,0.14238842494693046
91,0.1390440995254273
92,0.1386082159614381
93,0.13808776175249163
94,0.1375669435041388
95,0.1375669435041388
96,0.13746766152257492
97,0.1362862504261099
98,0.1362636522354866
99,0.13591680140800974
